Date,Price
2020-08-31,119.69999694824219
2020-09-01,125.05000305175781
2020-09-02,124.37000274658203
2020-09-03,116.19999694824219
2020-09-04,112.04000091552734
2020-09-08,110.55999755859375
2020-09-09,112.70999908447266
2020-09-10,110.56999969482422
2020-09-11,110.7699966430664
2020-09-14,112.55000305175781
2020-09-15,111.00499725341797
2020-09-16,108.80000305175781
2020-09-17,109.2300033569336
2020-09-18,111.75
2020-09-21,116.01000213623047
2020-09-22,119.3499984741211
2020-09-23,115.08999633789062
2020-09-24,113.68000030517578
2020-09-25,118.27999877929688
2020-09-28,123.69000244140625
2020-09-29,123.2300033569336
2020-09-30,121.62999725341797
2020-10-01,131.69000244140625
2020-10-02,131.6300048828125
2020-10-05,136.69000244140625
2020-10-06,134.55999755859375
2020-10-07,142.66000366210938
2020-10-08,139.5399932861328
2020-10-09,146.6699981689453
2020-10-12,147.3800048828125
2020-10-13,153.1999969482422
2020-10-14,149.97000122070312
2020-10-15,150.6699981689453
2020-10-16,147.58999633789062
2020-10-19,148.3699951171875
2020-10-20,144.7899932861328
2020-10-21,133.00999450683594
2020-10-22,135.94000244140625
2020-10-23,137.84500122070312
2020-10-26,139.72999572753906
2020-10-27,145.77999877929688
2020-10-28,139.63999938964844
2020-10-29,132.4199981689453
2020-10-30,121.58999633789062
2020-11-02,126.44000244140625
2020-11-03,130.4499969482422
2020-11-04,136.1999969482422
2020-11-05,143.63999938964844
2020-11-06,146.27999877929688
2020-11-09,121.19999694824219
2020-11-10,119.43000030517578
2020-11-11,130.58999633789062
2020-11-12,127.02999877929688
2020-11-13,124.91999816894531
2020-11-16,125.62000274658203
2020-11-17,128.82000732421875
2020-11-18,127.01000213623047
2020-11-19,134.5
2020-11-20,140.05999755859375
2020-11-23,140.1999969482422
2020-11-24,137.60000610351562
2020-11-25,145.08999633789062
2020-11-27,160.5500030517578
2020-11-30,160.6999969482422
2020-12-01,154.6699981689453
2020-12-02,154.6199951171875
2020-12-03,154.74000549316406
2020-12-04,155.02999877929688
2020-12-07,156.92999267578125
2020-12-08,163.97000122070312
2020-12-09,159.22999572753906
2020-12-10,165.3000030517578
2020-12-11,170.02000427246094
2020-12-14,169.97000122070312
2020-12-15,177.8000030517578
2020-12-16,182.33999633789062
2020-12-17,188.10000610351562
2020-12-18,190.75999450683594
2020-12-21,189.1999969482422
2020-12-22,197.3800048828125
2020-12-23,190.1699981689453
2020-12-24,190.30999755859375
2020-12-28,178.1199951171875
2020-12-29,177.00999450683594
2020-12-30,183.17999267578125
2020-12-31,177.91000366210938
2021-01-04,172.0800018310547
2021-01-05,174.97999572753906
2021-01-06,167.57000732421875
2021-01-07,170.7899932861328
2021-01-08,175.64999389648438
2021-01-11,183.0399932861328
2021-01-12,205.14999389648438
2021-01-13,207.02999877929688
2021-01-14,211.52000427246094
2021-01-15,204.4199981689453
2021-01-19,221.30999755859375
2021-01-20,215.69000244140625
2021-01-21,212.5399932861328
2021-01-22,213.58999633789062
2021-01-25,208.80999755859375
2021-01-26,204.41000366210938
2021-01-27,193.3699951171875
2021-01-28,202.41000366210938
2021-01-29,199.08999633789062
2021-02-01,203.77000427246094
2021-02-02,210.2899932861328
2021-02-03,210.07000732421875
2021-02-04,220.83999633789062
2021-02-05,231.1199951171875
2021-02-08,231.69000244140625
2021-02-09,229.8699951171875
2021-02-10,225.64999389648438
2021-02-11,226.0500030517578
2021-02-12,233.86000061035156
2021-02-16,228.32000732421875
2021-02-17,222.41000366210938
2021-02-18,220.82000732421875
2021-02-19,227.27000427246094
2021-02-22,213.1199951171875
2021-02-23,210.75
2021-02-24,209.10000610351562
2021-02-25,197.5800018310547
2021-02-26,220.27000427246094
