Date,Price
2020-03-02,135.8000030517578
2020-03-03,128.63999938964844
2020-03-04,130.16000366210938
2020-03-05,119.81999969482422
2020-03-06,115.66999816894531
2020-03-09,98.95999908447266
2020-03-10,107.41999816894531
2020-03-11,99.72000122070312
2020-03-12,83.2300033569336
2020-03-13,91.01000213623047
2020-03-16,83.2300033569336
2020-03-17,81.43000030517578
2020-03-18,69.58999633789062
2020-03-19,77.70999908447266
2020-03-20,70.0999984741211
2020-03-23,70.88999938964844
2020-03-24,86.61000061035156
2020-03-25,93.19000244140625
2020-03-26,99.18000030517578
2020-03-27,90.1500015258789
2020-03-30,95.16000366210938
2020-03-31,102.9000015258789
2020-04-01,95.9800033569336
2020-04-02,96.16000366210938
2020-04-03,91.06999969482422
2020-04-06,103.18000030517578
2020-04-07,107.93000030517578
2020-04-08,111.63999938964844
2020-04-09,107.70999908447266
2020-04-13,103.76000213623047
2020-04-14,108.63999938964844
2020-04-15,103.79000091552734
2020-04-16,98.55000305175781
2020-04-17,105.05000305175781
2020-04-20,100.5999984741211
2020-04-21,97.66999816894531
2020-04-22,100.62000274658203
2020-04-23,103.7300033569336
2020-04-24,106.05000305175781
2020-04-27,111.02999877929688
2020-04-28,116.55000305175781
2020-04-29,127.9800033569336
2020-04-30,128.5
2020-05-01,119.27999877929688
2020-05-04,116.75
2020-05-05,113.87000274658203
2020-05-06,110.80999755859375
2020-05-07,112.7300033569336
2020-05-08,119.58000183105469
2020-05-11,116.5199966430664
2020-05-12,110.18000030517578
2020-05-13,108.7699966430664
2020-05-14,116.05999755859375
2020-05-15,118.56999969482422
2020-05-18,129.3300018310547
2020-05-19,124.75
2020-05-20,128.02000427246094
2020-05-21,127.72000122070312
2020-05-22,130.55999755859375
2020-05-26,137.1699981689453
2020-05-27,140.47999572753906
2020-05-28,137.6199951171875
2020-05-29,138.88999938964844
2020-06-01,139.9600067138672
2020-06-02,143.1300048828125
2020-06-03,149.7899932861328
2020-06-04,151.3800048828125
2020-06-05,161.36000061035156
2020-06-08,158.27999877929688
2020-06-09,158.25
2020-06-10,155.60000610351562
2020-06-11,142.0500030517578
2020-06-12,143.49000549316406
2020-06-15,147.0399932861328
2020-06-16,158.2899932861328
2020-06-17,155.55999755859375
2020-06-18,153.80999755859375
2020-06-19,155.50999450683594
2020-06-22,157.11000061035156
2020-06-23,153.97999572753906
2020-06-24,142.42999267578125
2020-06-25,144.33999633789062
2020-06-26,140.39999389648438
2020-06-29,147.72000122070312
2020-06-30,149.0399932861328
2020-07-01,145.8000030517578
2020-07-02,147.91000366210938
2020-07-06,150.74000549316406
2020-07-07,147.57000732421875
2020-07-08,148.64999389648438
2020-07-09,143.66000366210938
2020-07-10,147.8300018310547
2020-07-13,152.1999969482422
2020-07-14,157.14999389648438
2020-07-15,160.8000030517578
2020-07-16,158.44000244140625
2020-07-17,159.0800018310547
2020-07-20,157.24000549316406
2020-07-21,160.3000030517578
2020-07-22,162.75
2020-07-23,163.49000549316406
2020-07-24,160.8800048828125
2020-07-27,163.2899932861328
2020-07-28,158.3300018310547
2020-07-29,163.4199981689453
2020-07-30,156.91000366210938
2020-07-31,155.3699951171875
2020-08-03,159.6300048828125
2020-08-04,160.83999633789062
2020-08-05,169.55999755859375
2020-08-06,168.64999389648438
2020-08-07,173.58999633789062
2020-08-10,181.25999450683594
2020-08-11,175.6199951171875
2020-08-12,178.60000610351562
2020-08-13,178.3699951171875
2020-08-14,179.3300018310547
2020-08-17,179.0800018310547
2020-08-18,176.55999755859375
2020-08-19,175.42999267578125
2020-08-20,174.5500030517578
2020-08-21,175.05999755859375
2020-08-24,176.97000122070312
2020-08-25,176.82000732421875
2020-08-26,177.58999633789062
2020-08-27,179.02000427246094
2020-08-28,182.52999877929688
2020-08-31,177.0500030517578
2020-09-01,182.5399932861328
2020-09-02,184.5800018310547
2020-09-03,174.38999938964844
2020-09-04,176.42999267578125
2020-09-08,172.3699951171875
2020-09-09,175.88999938964844
2020-09-10,171.9600067138672
2020-09-11,174.6300048828125
2020-09-14,176.5800018310547
2020-09-15,176.55999755859375
2020-09-16,181.5500030517578
2020-09-17,180.77999877929688
2020-09-18,176.1999969482422
2020-09-21,167.47999572753906
2020-09-22,167.97000122070312
2020-09-23,161.97999572753906
2020-09-24,166.6300048828125
2020-09-25,168.13999938964844
2020-09-28,175.72999572753906
2020-09-29,174.2100067138672
2020-09-30,174.5
